⁽	interpunction	superscript	Dutch
₍	interpunction	subscript	mathematics
(	interpunction	unicase	Dutch
⁾	interpunction	superscript	Dutch
₎	interpunction	subscript	mathematics
)	interpunction	unicase	Dutch
[	interpunction	unicase	Dutch
]	interpunction	unicase	Dutch
{	interpunction	unicase	Dutch
}	interpunction	unicase	Dutch
&	separator	unicase	Dutch
/	separator	unicase	Dutch
,	separator	unicase	Dutch
 	separator	unicase	Dutch
-	separator	unicase	Dutch
.	character	unicase	Dutch
'	character	unicase	Dutch
’	character	unicase	Dutch
⁻	symbol	superscript	Dutch
₋	symbol	subscript	mathematics
⁺	symbol	superscript	Dutch
₊	symbol	subscript	mathematics
+	character	unicase	Dutch
⁰	numeral	superscript	Dutch
₀	numeral	subscript	Dutch
0	numeral	unicase	Dutch
↉	numeral	unicase	Dutch
⅒	numeral	unicase	Dutch
⅑	numeral	unicase	Dutch
⅛	numeral	unicase	Dutch
⅙	numeral	unicase	Dutch
⅕	numeral	unicase	Dutch
¼	numeral	unicase	Dutch
⅓	numeral	unicase	Dutch
⅜	numeral	unicase	Dutch
⅖	numeral	unicase	Dutch
½	numeral	unicase	Dutch
⅗	numeral	unicase	Dutch
⅝	numeral	unicase	Dutch
⅔	numeral	unicase	Dutch
¾	numeral	unicase	Dutch
⅘	numeral	unicase	Dutch
⅚	numeral	unicase	Dutch
⅞	numeral	unicase	Dutch
¹	numeral	superscript	Dutch
₁	numeral	subscript	Dutch
1	numeral	character	Dutch
²	numeral	superscript	Dutch
₂	numeral	subscript	Dutch
2	numeral	character	Dutch
³	numeral	superscript	Dutch
₃	numeral	subscript	Dutch
3	numeral	character	Dutch
⁴	numeral	superscript	Dutch
₄	numeral	subscript	Dutch
4	numeral	character	Dutch
⁵	numeral	superscript	Dutch
₅	numeral	subscript	Dutch
5	numeral	character	Dutch
⁶	numeral	superscript	Dutch
₆	numeral	subscript	Dutch
6	numeral	character	Dutch
⁷	numeral	superscript	Dutch
₇	numeral	subscript	Dutch
7	numeral	character	Dutch
